timestamp,city,aqi,weather_icon,wind_speed,humidity,temperature,pm25,pm10,o3,no2,so2,co
2025-04-01T00:16:41.732762+07:00,Hồ Chí Minh,116,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,5.5 km/h,78%,27.8°C,41.5,N/A,N/A,N/A,N/A,N/A
2025-04-01T01:26:26.916325+07:00,Hồ Chí Minh,132,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,80%,27.2°C,48.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T02:15:32.700924+07:00,Hồ Chí Minh,137,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,79%,27.2°C,50.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T03:21:07.726746+07:00,Hồ Chí Minh,121,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,81%,27.2°C,43.7,N/A,N/A,N/A,N/A,N/A
2025-04-01T04:17:58.565109+07:00,Hồ Chí Minh,116,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,80%,27.2°C,41.5,N/A,N/A,N/A,N/A,N/A
2025-04-01T05:18:30.474027+07:00,Hồ Chí Minh,82,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,80%,27.2°C,26.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T06:17:56.008850+07:00,Hồ Chí Minh,79,/dl/web/weather/ic-w-09-mist-full.svg,7.4 km/h,85%,26.1°C,23.9,N/A,N/A,N/A,N/A,N/A
2025-04-01T08:42:50.367430+07:00,Hồ Chí Minh,152,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.4 km/h,77%,27.8°C,56.5,N/A,N/A,N/A,N/A,N/A
2025-04-01T10:12:27.222028+07:00,Hồ Chí Minh,101,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,71%,30.0°C,35.5,N/A,N/A,N/A,N/A,N/A
2025-04-01T11:22:40.953467+07:00,Hồ Chí Minh,84,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,69%,30.0°C,27.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T12:19:03.525648+07:00,Hồ Chí Minh,74,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,66%,30.0°C,21.5,N/A,N/A,N/A,N/A,N/A
2025-04-01T13:28:32.855079+07:00,Hồ Chí Minh,77,/dl/web/weather/ic-w-06-rain-full.svg,7.4 km/h,79%,27.8°C,23.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T14:19:27.151557+07:00,Hồ Chí Minh,83,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.0 km/h,79%,27.8°C,26.3,N/A,N/A,N/A,N/A,N/A
2025-04-01T15:25:51.216377+07:00,Hồ Chí Minh,99,/dl/web/weather/ic-w-06-rain-full.svg,9.2 km/h,75%,27.8°C,35.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T16:21:13.635613+07:00,Hồ Chí Minh,111,/dl/web/weather/ic-w-06-rain-full.svg,3.7 km/h,75%,27.8°C,39.8,N/A,N/A,N/A,N/A,N/A
2025-04-01T17:20:44.798464+07:00,Hồ Chí Minh,105,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,81%,26.1°C,37.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T18:16:45.730999+07:00,Hồ Chí Minh,95,/dl/web/weather/ic-w-12-night-rain-full.svg,3.7 km/h,75%,27.8°C,32.5,N/A,N/A,N/A,N/A,N/A
2025-04-01T19:39:17.612324+07:00,Hồ Chí Minh,110,/dl/web/weather/ic-w-12-night-rain-full.svg,3.7 km/h,75%,27.8°C,39.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T20:29:29.530419+07:00,Hồ Chí Minh,123,/dl/web/weather/ic-w-06-rain-full.svg,5.5 km/h,88%,26.1°C,44.4,N/A,N/A,N/A,N/A,N/A
2025-04-01T21:19:18.718774+07:00,Hồ Chí Minh,124,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.1 km/h,86%,26.1°C,44.8,N/A,N/A,N/A,N/A,N/A
2025-04-01T22:20:48.749798+07:00,Hồ Chí Minh,90,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,86%,26.1°C,30.4,N/A,N/A,N/A,N/A,N/A
2025-04-01T23:23:23.977776+07:00,Hồ Chí Minh,82,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.2 km/h,85%,26.1°C,26.0,N/A,N/A,N/A,N/A,N/A
2025-04-02T00:17:59.018022+07:00,Hồ Chí Minh,92,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,87%,26.1°C,31.0,N/A,N/A,N/A,N/A,N/A
