timestamp,city,aqi,weather_icon,wind_speed,humidity,temperature,pm25,pm10,o3,no2,so2,co
2025-04-01T00:17:22.135514+07:00,Thái Nguyên,129,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,4.2 km/h,57%,15.0°C,46.9,N/A,N/A,N/A,N/A,N/A
2025-04-01T01:27:07.128965+07:00,Thái Nguyên,59,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.0 km/h,55%,15.0°C,13.4,22.1,N/A,9.0,1.5,0.4
2025-04-01T02:16:11.569534+07:00,Thái Nguyên,116,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.3 km/h,60%,15.0°C,41.7,N/A,N/A,N/A,N/A,N/A
2025-04-01T03:21:49.371881+07:00,Thái Nguyên,116,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.8 km/h,62%,15.0°C,41.7,N/A,N/A,N/A,N/A,N/A
2025-04-01T04:18:37.861074+07:00,Thái Nguyên,116,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.8 km/h,60%,15.0°C,41.7,N/A,N/A,N/A,N/A,N/A
2025-04-01T05:19:08.502217+07:00,Thái Nguyên,115,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.0 km/h,62%,15.0°C,41.4,N/A,N/A,N/A,N/A,N/A
2025-04-01T06:18:36.502539+07:00,Thái Nguyên,115,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.1 km/h,60%,15.0°C,41.4,N/A,N/A,N/A,N/A,N/A
2025-04-01T08:43:30.742358+07:00,Thái Nguyên,116,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,4.5 km/h,56%,16.1°C,41.5,N/A,N/A,N/A,N/A,N/A
2025-04-01T10:13:05.885484+07:00,Thái Nguyên,116,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,45%,18.9°C,41.5,N/A,N/A,N/A,N/A,N/A
2025-04-01T11:23:21.585328+07:00,Thái Nguyên,105,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.6 km/h,43%,21.1°C,37.3,N/A,N/A,N/A,N/A,N/A
2025-04-01T12:19:44.312512+07:00,Thái Nguyên,105,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.9 km/h,42%,22.8°C,37.3,N/A,N/A,N/A,N/A,N/A
2025-04-01T13:29:13.248776+07:00,Thái Nguyên,59,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,4.0 km/h,38%,23.9°C,13.4,22.1,N/A,9.0,1.5,0.4
2025-04-01T14:20:05.293065+07:00,Thái Nguyên,104,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,42%,23.9°C,36.7,N/A,N/A,N/A,N/A,N/A
2025-04-01T15:26:29.306420+07:00,Thái Nguyên,104,/dl/web/weather/ic-w-02-new-clouds-full.svg,6.0 km/h,40%,23.9°C,36.7,N/A,N/A,N/A,N/A,N/A
2025-04-01T16:21:55.838949+07:00,Thái Nguyên,104,/dl/web/weather/ic-w-02-new-clouds-full.svg,6.0 km/h,41%,23.9°C,36.7,N/A,N/A,N/A,N/A,N/A
2025-04-01T17:21:22.694546+07:00,Thái Nguyên,107,/dl/web/weather/ic-w-02-new-clouds-full.svg,6.0 km/h,42%,22.8°C,38.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T18:17:23.882033+07:00,Thái Nguyên,107,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,3.7 km/h,48%,22.2°C,38.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T19:39:57.862837+07:00,Thái Nguyên,120,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,4.5 km/h,48%,21.1°C,43.4,N/A,N/A,N/A,N/A,N/A
2025-04-01T20:30:14.478321+07:00,Thái Nguyên,120,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.2 km/h,49%,21.1°C,43.4,N/A,N/A,N/A,N/A,N/A
2025-04-01T21:19:56.829201+07:00,Thái Nguyên,120,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.4 km/h,50%,20.0°C,43.4,N/A,N/A,N/A,N/A,N/A
2025-04-01T22:21:29.244274+07:00,Thái Nguyên,120,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,12.4 km/h,53%,18.9°C,43.4,N/A,N/A,N/A,N/A,N/A
2025-04-01T23:24:03.148972+07:00,Thái Nguyên,152,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.8 km/h,59%,17.8°C,56.9,N/A,N/A,N/A,N/A,N/A
2025-04-02T00:18:39.245712+07:00,Thái Nguyên,152,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.4 km/h,63%,17.2°C,56.9,N/A,N/A,N/A,N/A,N/A
2025-04-02T01:26:08.752681+07:00,Thái Nguyên,152,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.0 km/h,70%,16.1°C,56.9,N/A,N/A,N/A,N/A,N/A
2025-04-02T02:16:06.192338+07:00,Thái Nguyên,157,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,3.7 km/h,66%,16.1°C,64.3,N/A,N/A,N/A,N/A,N/A
